omega,seed,pinn_gmm_micro,std_gmm_micro,pinn_knn_micro,std_knn_micro
1.2,8,0.5064102564102564,0.4337606837606838,0.5368794326241134,0.4572637840311142
1.2,19,0.5363247863247863,0.4017094017094017,0.5721116449325098,0.43180050331731873
1.2,3,0.49786324786324787,0.3888888888888889,0.548936170212766,0.405925417524594
1.2,17,0.4794816414686825,0.42332613390928725,0.5465871902758298,0.42370266479663393
1.2,2,0.5634743875278396,0.5100222717149221,0.6770536828963796,0.5120848938826467
1.2,18,0.531317494600432,0.4470842332613391,0.6157316503038803,0.3888499298737728
1.2,10,0.48504273504273504,0.41239316239316237,0.5558911004346831,0.32706474490963167
1.2,0,0.47863247863247865,0.45085470085470086,0.585312285518188,0.4036147334706017
1.2,1,0.532051282051282,0.4594017094017094,0.596110729810112,0.40203614733470605
1.2,15,0.3881578947368421,0.3793859649122807,0.3931438127090301,0.3731247013855709
1.2,13,0.4551282051282051,0.44017094017094016,0.5241134751773049,0.4021047815145275
1.2,11,0.5827664399092971,0.5374149659863946,0.6534218590398366,0.5692288049029621
1.2,6,0.535632183908046,0.4,0.6228763166836562,0.3795659191301393
1.2,16,0.45085470085470086,0.40384615384615385,0.5596888583848089,0.4914436055822467
1.2,5,0.5341880341880342,0.4337606837606838,0.5723861816517959,0.43184625943719973
1.2,14,0.5982905982905983,0.48717948717948717,0.6733470601692977,0.5856554564172958
1.2,7,0.5705128205128205,0.49145299145299143,0.6365591397849462,0.4421185083504919
1.2,9,0.5376344086021505,0.421505376344086,0.5913978494623655,0.4451612903225806
1.2,4,0.4893162393162393,0.43803418803418803,0.4938458018760009,0.3633493479752917
1.2,12,0.5598290598290598,0.5982905982905983,0.5556394417753375,0.5943491191946924
1.2,20,0.4594017094017094,0.344017094017094,0.4487760237931823,0.3313658201784489
1.2,21,0.4824561403508772,0.3618421052631579,0.5088150979455327,0.3244386048733875
1.2,29,0.5279642058165548,0.5749440715883669,0.6284893882646692,0.6176029962546817
1.2,22,0.43902439024390244,0.4611973392461197,0.5521123321123321,0.467936507936508
1.2,28,0.4722222222222222,0.4465811965811966,0.5493479752916952,0.4957675589110043
1.2,24,0.4835164835164835,0.41098901098901097,0.6791208791208792,0.3318681318681319
2.0,0,0.7371794871794872,0.4700854700854701,0.653809196980096,0.43800045756119876
1.2,23,0.7029914529914529,0.4893162393162393,0.6564401738732555,0.5388240677190574
1.2,25,0.5112107623318386,0.452914798206278,0.5651435705368291,0.48661672908863923
2.0,3,0.4722222222222222,0.38247863247863245,0.5001372683596431,0.32697323266986955
1.2,27,0.49145299145299143,0.4636752136752137,0.5363989933653626,0.4446122168840082
1.2,26,0.5292792792792793,0.42117117117117114,0.44136874361593464,0.33544433094994897
2.0,1,0.44017094017094016,0.42735042735042733,0.4612903225806452,0.4232441088995653
2.0,4,0.6217948717948718,0.5106837606837606,0.5216655227636696,0.5021505376344086
2.0,8,0.5235042735042735,0.5170940170940171,0.5304278197208876,0.532258064516129
2.0,2,0.46770601336302897,0.39643652561247217,0.46329588014981277,0.35425717852684147
2.0,7,0.4444444444444444,0.391025641025641,0.5061999542438802,0.35021734156943496
2.0,5,0.4658119658119658,0.49145299145299143,0.653717684740334,0.4874628231525967
2.0,6,0.4850574712643678,0.335632183908046,0.43669300033978936,0.18624702684335714
2.0,9,0.4838709677419355,0.443010752688172,0.6580645161290322,0.5419354838709677
2.0,15,0.38596491228070173,0.40789473684210525,0.5398709985666507,0.4829431438127091
2.0,10,0.4829059829059829,0.3803418803418803,0.4425074353694806,0.32253488904140926
2.0,11,0.5374149659863946,0.38095238095238093,0.5127425944841676,0.33804902962206335
2.0,14,0.5277777777777778,0.6217948717948718,0.6987417067032715,0.6691146190803019
2.0,13,0.46153846153846156,0.38461538461538464,0.49798673072523447,0.4255547929535576
2.0,18,0.67170626349892,0.4924406047516199,0.6237727910238429,0.3929640018700328
2.0,12,0.5021367521367521,0.5106837606837606,0.5963623884694578,0.5512697323266986
2.0,23,0.48717948717948717,0.40384615384615385,0.5837108213223519,0.47664150080073214
2.0,20,0.5085470085470085,0.45085470085470086,0.5555708075955159,0.3720430107526882
2.0,17,0.5226781857451404,0.46220302375809935,0.5571061243571762,0.4232585320243104
2.0,16,0.4893162393162393,0.5064102564102564,0.6369251887439945,0.4829787234042553
2.0,28,0.4551282051282051,0.4081196581196581,0.5532372454815832,0.49132921528254403
2.0,21,0.4517543859649123,0.3969298245614035,0.46521739130434786,0.36194457716196843
2.0,22,0.5454545454545454,0.5388026607538803,0.5589987789987789,0.468009768009768
2.0,19,0.5384615384615384,0.391025641025641,0.6003431708991077,0.43159460077785405
2.0,25,0.5493273542600897,0.4551569506726457,0.5787515605493134,0.4371285892634207
2.0,24,0.5164835164835165,0.48131868131868133,0.5846153846153845,0.46813186813186813
2.0,29,0.5212527964205816,0.3870246085011186,0.5365293383270912,0.4314357053682897
2.0,27,0.5277777777777778,0.45726495726495725,0.6729581331503088,0.45705788149164955
2.0,26,0.5833333333333334,0.38288288288288286,0.5249489274770174,0.3083503575076609
2.86,2,0.5434298440979956,0.44320712694877507,0.5278651685393259,0.4453932584269663
2.86,0,0.5384615384615384,0.4230769230769231,0.6092198581560283,0.47654998856097003
2.86,4,0.452991452991453,0.3782051282051282,0.40366048959048273,0.3034317089910776
2.86,14,0.45726495726495725,0.42094017094017094,0.5468542667581789,0.3785861358956761
2.86,6,0.4735632183908046,0.37701149425287356,0.5701877336051648,0.2943000339789331
2.86,3,0.5213675213675214,0.4893162393162393,0.4805994051704416,0.40196751315488444
2.86,5,0.37393162393162394,0.391025641025641,0.5216426447037291,0.5001372683596431
2.86,1,0.5042735042735043,0.45726495726495725,0.47627545184168385,0.4186456188515214
2.86,8,0.46794871794871795,0.49572649572649574,0.5173644474948524,0.43827499428048505
2.86,9,0.4559139784946237,0.5333333333333333,0.6107526881720429,0.5096774193548387
2.86,7,0.5106837606837606,0.4551282051282051,0.4723175474719743,0.39752916952642414
2.86,10,0.4594017094017094,0.4935897435897436,0.5812857469686571,0.4595287119652253
2.86,11,0.5714285714285714,0.38095238095238093,0.6826864147088865,0.40145556690500506
2.86,12,0.5470085470085471,0.5064102564102564,0.5726835964310226,0.48268130862502867
2.86,16,0.48504273504273504,0.3952991452991453,0.6326698695950583,0.5515671471059254
2.86,15,0.5,0.4276315789473684,0.522336359292881,0.3685379837553751
2.86,17,0.5053995680345572,0.39956803455723544,0.5745909303412811,0.43875642823749417
2.86,18,0.5572354211663066,0.39092872570194387,0.550420757363254,0.362739597942964
2.86,13,0.5448717948717948,0.5876068376068376,0.454998856097003,0.5514756348661634
2.86,19,0.5363247863247863,0.42094017094017094,0.4447266071837109,0.4170212765957447
2.86,21,0.47368421052631576,0.40789473684210525,0.41041567128523654,0.38822264691829905
2.86,23,0.5277777777777778,0.4636752136752137,0.5732784259894762,0.4681537405628003
2.86,22,0.4634146341463415,0.3924611973392461,0.4680830280830281,0.4258608058608059
2.86,25,0.4551569506726457,0.47085201793721976,0.5473158551810238,0.38786516853932584
2.86,24,0.46153846153846156,0.4461538461538462,0.6065934065934067,0.5142857142857142
2.86,28,0.5833333333333334,0.46153846153846156,0.6280942576069549,0.4660489590482727
2.86,26,0.49324324324324326,0.4099099099099099,0.47964759959141984,0.4300306435137896
2.86,20,0.47435897435897434,0.3952991452991453,0.5790208190345458,0.31633493479752917
3.5,1,0.4700854700854701,0.5192307692307693,0.5212079615648594,0.32290093800045755
2.86,27,0.5448717948717948,0.44017094017094016,0.6132235186456187,0.4572637840311142
2.86,29,0.5458612975391499,0.3870246085011186,0.5704369538077403,0.39825218476903873
3.5,0,0.43803418803418803,0.391025641025641,0.5300846488217799,0.3719514985129261
3.5,2,0.45434298440979953,0.44766146993318484,0.5859925093632958,0.4165543071161048
3.5,4,0.36752136752136755,0.36538461538461536,0.3995881949210707,0.361107298101121
3.5,3,0.5213675213675214,0.4658119658119658,0.5320750400366049,0.4532143674216426
3.5,5,0.4081196581196581,0.46153846153846156,0.5129718599862731,0.5065431251429879
3.5,9,0.42795698924731185,0.44731182795698926,0.5182795698924731,0.4774193548387097
3.5,6,0.5517241379310345,0.38850574712643676,0.616144240570846,0.3011170574243969
3.5,8,0.49572649572649574,0.5277777777777778,0.5707847174559597,0.506726149622512
3.5,7,0.42094017094017094,0.41239316239316237,0.5386181651795928,0.41214824982841447
3.5,10,0.4465811965811966,0.44017094017094016,0.46588881262868914,0.39748341340654314
3.5,11,0.6077097505668935,0.4603174603174603,0.6734933605720121,0.4492339121552605
3.5,14,0.5170940170940171,0.5,0.5810569663692519,0.49599633951040956
3.5,12,0.5833333333333334,0.5534188034188035,0.6132463967055594,0.5512010981468771
3.5,16,0.5427350427350427,0.5064102564102564,0.5323266986959505,0.54026538549531
3.5,17,0.5701943844492441,0.408207343412527,0.5271154745208041,0.4084618980832165
3.5,13,0.5448717948717948,0.41025641025641024,0.4276366964081446,0.452962708762297
3.5,21,0.4649122807017544,0.4407894736842105,0.4804108934543717,0.4189918776875299
3.5,15,0.4517543859649123,0.4232456140350877,0.559483994266603,0.44118490205446725
3.5,18,0.6004319654427646,0.3714902807775378,0.49230949041608224,0.3474988312295465
3.5,19,0.4829059829059829,0.4358974358974359,0.4165865934568749,0.41493937314115764
3.5,20,0.36752136752136755,0.3525641025641026,0.32251201098146876,0.24799816975520478
3.5,22,0.4656319290465632,0.4190687361419069,0.48134310134310143,0.394993894993895
3.5,23,0.47863247863247865,0.43803418803418803,0.4938458018760009,0.3656371539693434
3.5,24,0.5186813186813187,0.44175824175824174,0.5912087912087912,0.43076923076923085
3.5,25,0.45964125560538116,0.4192825112107623,0.5134581772784019,0.3991760299625468
3.5,26,0.4166666666666667,0.34459459459459457,0.3648621041879469,0.2859805924412666
3.5,27,0.5598290598290598,0.48504273504273504,0.5813543811484786,0.523633035918554
3.5,28,0.5,0.36752136752136755,0.5002287805994052,0.39727751086707846
3.5,29,0.5436241610738255,0.46756152125279643,0.5439700374531835,0.38019975031210984
